providerEmail,title,description,categories,location,priceRate,dateTime
user1@gmail.com,Tukang Listrik Panggilan,"Membutuhkan tukang listrik handal untuk perbaikan instalasi di rumah area Depok, Jawa Barat.",Tukang|Listrik,"Depok, Jawa Barat",125000,2025-08-01T10:00:00Z
user2@gmail.com,Jasa Cuci Pakaian Kiloan,"Mencari jasa cuci dan setrika kiloan untuk area Bekasi, Jawa Barat.",ART|Rumah Tangga,"Bekasi, Jawa Barat",50000,2025-08-05T09:00:00Z
user3@gmail.com,Montir Motor Darurat,"Motor mogok di jalan? Butuh montir panggilan cepat di Jakarta Selatan, DKI Jakarta.",Montir|Otomotif,"Jakarta Selatan, DKI Jakarta",95000,2025-07-28T14:30:00Z
user4@gmail.com,Tukang Ledeng Panggilan,"Saluran air mampet? Panggil tukang ledeng berpengalaman di Bandung, Jawa Barat.",Tukang|Ledeng,"Bandung, Jawa Barat",130000,2025-08-10T11:00:00Z
user11@gmail.com,Jasa Bersih Kamar Mandi,"Pembersihan kamar mandi menyeluruh, panggilan untuk Jakarta Utara, DKI Jakarta.",Jasa|Pembersih,"Jakarta Utara, DKI Jakarta",90000,2025-08-09T14:00:00Z
user12@gmail.com,Tukang Atap Bocor,"Perbaikan atap bocor cepat dan tuntas di Bogor, Jawa Barat.",Tukang|Perbaikan Rumah,"Bogor, Jawa Barat",170000,2025-08-18T09:00:00Z
user17@gmail.com,Tukang Kunci Panggilan 24 Jam,"Jasa kunci hilang/macet darurat di Cirebon, Jawa Barat.",Tukang|Kunci,"Cirebon, Jawa Barat",60000,2025-07-29T20:00:00Z
user31@gmail.com,Asisten Rumah Tangga Harian,"Mencari ART harian untuk bersih-bersih dan memasak di area Depok, Jawa Barat.",ART|Rumah Tangga,"Depok, Jawa Barat",200000,2025-08-01T08:00:00Z
user32@gmail.com,Perbaikan Atap Bocor,"Dibutuhkan segera tukang untuk memperbaiki atap yang bocor di area Bekasi, Jawa Barat.",Tukang|Perbaikan Rumah,"Bekasi, Jawa Barat",150000,2025-07-20T09:00:00Z
user33@gmail.com,Montir Panggilan Darurat,"Dibutuhkan montir untuk perbaikan motor mogok di sekitar Depok, Jawa Barat.",Montir|Otomotif,"Depok, Jawa Barat",85000,2025-07-19T11:00:00Z
user37@gmail.com,Jasa Pembersih Rumah,"Mencari jasa pembersih rumah harian untuk area Jakarta Barat, DKI Jakarta.",Jasa|Pembersih,"Jakarta Barat, DKI Jakarta",170000,2025-08-02T10:00:00Z
user39@gmail.com,Servis Komputer Panggilan,"Ahli servis komputer dan laptop di tempat untuk area Bandung, Jawa Barat.",Teknisi|IT,"Bandung, Jawa Barat",110000,2025-08-11T14:00:00Z
user51@gmail.com,Tukang Cat Dinding Interior,"Mengecat ulang interior rumah di Bogor, Jawa Barat.",Tukang|Konstruksi,"Bogor, Jawa Barat",180000,2025-08-16T09:00:00Z
user52@gmail.com,Jasa Bersih Apartemen Harian,"Pembersihan harian/mingguan untuk unit apartemen di Jakarta Selatan, DKI Jakarta.",Jasa|Pembersih,"Jakarta Selatan, DKI Jakarta",160000,2025-08-04T10:00:00Z
user53@gmail.com,Montir Mobil Panggilan,"Perbaikan mobil mogok di lokasi untuk area Bekasi, Jawa Barat.",Montir|Otomotif,"Bekasi, Jawa Barat",150000,2025-07-29T15:00:00Z
newuser58@example.com,Jasa Angkut Barang,"Pindahan rumah, kos, atau pengiriman barang besar dengan armada pickup di Bandung.",Logistik|Transportasi,"Bandung, Jawa Barat",360000,2024-10-22T02:29:05.929002Z
newuser65@example.com,Perawat Lansia Harian,Jasa pendampingan dan perawatan harian untuk lansia di rumah area Jakarta Selatan.,Kesehatan|Perawat,"Jakarta Selatan, DKI Jakarta",350000,2025-10-23T22:15:54.929002Z
newuser73@example.com,Admin Media Sosial Freelance,Mengelola dan membuat konten untuk akun Instagram/Facebook bisnis Anda di Cirebon.,Digital|Marketing,"Cirebon, Jawa Barat",475000,2025-03-29T22:19:55.929002Z
newuser80@example.com,Penerjemah Dokumen (Inggris-Indonesia),"Jasa penerjemahan dokumen, artikel, atau buku dari Bahasa Inggris ke Indonesia (atau sebaliknya) di Cirebon.",Bahasa|Penerjemah,"Cirebon, Jawa Barat",175000,2025-08-04T05:57:07.929002Z
newuser81@example.com,Penulis Konten SEO Lepas,Menulis artikel blog dan konten website yang SEO-friendly untuk berbagai niche di Bekasi.,Kreatif|Penulis,"Bekasi, Jawa Barat",405000,2024-07-28T10:52:29.929002Z
newuser83@example.com,Jasa Rias Wajah (Make Up Artist),"Make up untuk wisuda, pesta, atau acara formal lainnya dengan home service di Jakarta Selatan.",Kecantikan|MUA,"Jakarta Selatan, DKI Jakarta",650000,2025-06-17T03:53:23.929002Z
newuser85@example.com,Tukang Listrik Panggilan,Perbaikan dan instalasi listrik untuk rumah dan kantor di Depok.,Tukang|Listrik,"Depok, Jawa Barat",110000,2025-12-28T09:21:03.929002Z
newuser90@example.com,Jasa Dekorasi Acara,"Dekorasi untuk acara lamaran, aqiqah, atau ulang tahun dengan tema sesuai permintaan di Bandung.",Kreatif|Dekorasi,"Bandung, Jawa Barat",1110000,2025-12-28T20:48:19.929002Z
newuser92@example.com,Asisten Rumah Tangga Harian,"Jasa bersih-bersih rumah, memasak, dan merapikan untuk harian di Cirebon.",ART|Rumah Tangga,"Cirebon, Jawa Barat",165000,2025-08-10T06:02:14.929002Z
newuser93@example.com,Jasa Rias Wajah (Make Up Artist),"Make up untuk wisuda, pesta, atau acara formal lainnya dengan home service di Bandung.",Kecantikan|MUA,"Bandung, Jawa Barat",635000,2025-11-12T12:42:43.929002Z
newuser95@example.com,Jasa Cuci Sofa & Karpet,"Pembersihan profesional untuk sofa, karpet, dan spring bed dengan alat modern di Bogor.",Jasa|Pembersih,"Bogor, Jawa Barat",450000,2025-05-02T13:24:50.929002Z
newuser102@example.com,Asisten Rumah Tangga Harian,"Jasa bersih-bersih rumah, memasak, dan merapikan untuk harian di Cirebon.",ART|Rumah Tangga,"Cirebon, Jawa Barat",180000,2026-02-08T11:22:41.929002Z
newuser103@example.com,Tukang Ledeng Profesional,"Mengatasi saluran air mampet, kebocoran pipa, dan instalasi keran di Jakarta Selatan.",Tukang|Ledeng,"Jakarta Selatan, DKI Jakarta",230000,2026-04-13T01:52:16.929002Z
newuser105@example.com,Guru Les Privat (SD/SMP/SMA),"Bimbingan belajar privat untuk mata pelajaran sekolah (Matematika, Fisika, Bahasa Inggris) di Jakarta Selatan.",Edukasi|Privat,"Jakarta Selatan, DKI Jakarta",155000,2024-09-20T16:07:16.929002Z
newuser107@example.com,Asisten Rumah Tangga Harian,"Jasa bersih-bersih rumah, memasak, dan merapikan untuk harian di Cirebon.",ART|Rumah Tangga,"Cirebon, Jawa Barat",150000,2025-10-16T12:11:15.929002Z
newuser109@example.com,Jasa Dekorasi Acara,"Dekorasi untuk acara lamaran, aqiqah, atau ulang tahun dengan tema sesuai permintaan di Bekasi.",Kreatif|Dekorasi,"Bekasi, Jawa Barat",1830000,2024-10-05T09:06:08.929002Z
newuser110@example.com,Tukang Ledeng Profesional,"Mengatasi saluran air mampet, kebocoran pipa, dan instalasi keran di Jakarta Selatan.",Tukang|Ledeng,"Jakarta Selatan, DKI Jakarta",215000,2025-07-18T23:20:42.929002Z
